Tanggal,Tweet,Sentimen,Aspek_Bisnis
2026-06-02,Pengajuan pinjaman praktis dan tidak ribet. Semoga pelayanan selalu ditingkatkan.,Positif,Customer Service / Pelayanan
2026-06-02,Aplikasi ini sangat baik dalam menjaga keamanan investasi saya.,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,cukup bagus apk tring pegadaian ini,Positif,Harga Emas & Gadai
2026-06-02,aplikasi ini untuk jual emas sangat tdk mendukung banget.... uang anda bisa tdk masuk ke mbanking... customer service nya di chat jawaban nya sedang di proses harap menunggu menunggu dan menunggu.... dan tdk ad konfirmasi tentang keberhasilan proses yg di buat 🙏,Negatif,Aplikasi Digital (Bug/UI)
2026-06-02,apk keren,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasi yang sangat bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,bagus sekali,Positif,Fitur Produk / Transaksi
2026-06-02,good,Positif,Fitur Produk / Transaksi
2026-06-02,apk nya bagus dan sangat membantu,Positif,Customer Service / Pelayanan
2026-06-02,bagus,Positif,Fitur Produk / Transaksi
2026-06-02,bagus,Positif,Fitur Produk / Transaksi
2026-06-02,bagus sangat membantu,Positif,Customer Service / Pelayanan
2026-06-02,tring minta untung nya gede banget anjir ga suka otw pindah ke dana lagi,Negatif,Fitur Produk / Transaksi
2026-06-02,mau buat akun aja susahnya minta ampun,Negatif,Fitur Produk / Transaksi
2026-06-02,bagus dan bermanfaat silakan di download ya teman-teman,Positif,Fitur Produk / Transaksi
2026-06-02,apk ini sangat luar biasa,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasinya bagus bekerja dengan bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,"mau melunasi cicil emas gak bisa kalau belum jatuh tempo, sangat merepotkan",Negatif,Harga Emas & Gadai
2026-06-02,ini tring kenapa sampai sekarang ga bisa bayar pake debit bri? kalau pake VA BRI kena biaya sedangkan saya pakenya sering. tolong doong,Negatif,Biaya & Administrasi
2026-06-02,aplikasi ini sangat bagus dan amanah luarbiasa,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,aplikasi bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,sngat memuaskan,Positif,Fitur Produk / Transaksi
2026-06-02,mantap,Positif,Fitur Produk / Transaksi
2026-06-02,yh sangat membantu dan bagus,Positif,Customer Service / Pelayanan
2026-06-02,aplikasi mantap,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,i like the game accident by these,Positif,Fitur Produk / Transaksi
2026-06-02,good🔥🔥,Positif,Fitur Produk / Transaksi
2026-06-02,apk nya sangat membantu sekali,Positif,Customer Service / Pelayanan
2026-06-02,aplikasi nya bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,mantap dan sangat membantu,Positif,Customer Service / Pelayanan
2026-06-02,bagus banget,Positif,Fitur Produk / Transaksi
2026-06-02,ok,Positif,Fitur Produk / Transaksi
2026-06-02,"ini baik bagi yang mengerti,tapi tidak baik yang tidak mengerti",Positif,Fitur Produk / Transaksi
2026-06-02,tidak bisa dibuka,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,hanya 5 bintang,Positif,Fitur Produk / Transaksi
2026-06-02,bagus tapi banyak kekurangan,Positif,Fitur Produk / Transaksi
2026-06-02,mantap sangat berguna dan bermanfaat,Positif,Fitur Produk / Transaksi
2026-06-02,"admin nya slow respon, gagal di vertivikasi mulu, terus jawabanya sama mulu,""besok di ulang yah kak"", ini mau sampe kapan? soalnua sdh mulai nyicil di cabang nya",Negatif,Biaya & Administrasi
2026-06-02,alpikasi nya bagus,Positif,Fitur Produk / Transaksi
2026-06-02,good,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasi ini bagus nyaman,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,bagus,Positif,Fitur Produk / Transaksi
2026-06-02,ok bagus apk nya,Positif,Fitur Produk / Transaksi
2026-06-02,mantap,Positif,Fitur Produk / Transaksi
2026-06-02,bagus,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasinya bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,mantap bagus,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasi nya bagus dan terpercaya ga ada iklan dan di jamin aman,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,bagus,Positif,Fitur Produk / Transaksi
2026-06-02,"respon live agent yg sangat baik , dan cepat tanggap dalam menghadapi problem",Positif,Customer Service / Pelayanan
2026-06-02,aplikasi nya baguss sekalii,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,waaww bagus banget langsung dapat uang,Positif,Fitur Produk / Transaksi
2026-06-02,mantap cuan banget,Positif,Fitur Produk / Transaksi
2026-06-02,hgac,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasinya ckup bagus lah,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,jos,Positif,Fitur Produk / Transaksi
2026-06-02,bagus,Positif,Fitur Produk / Transaksi
2026-06-02,1.hanya pengguna baru VPN dilarang.,Positif,Fitur Produk / Transaksi
2026-06-02,sangat bagus dan keren untuk nabung di pegadaian dan sangat menguntungkan,Positif,Harga Emas & Gadai
2026-06-02,mantap banget aplikasi nyaa aku suka,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,aplikasi tring bagus banget sangat cocok untuk di DOWNLOAD ya,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,aman terpercaya,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasi bagus keren memebatu seklai,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,jos,Positif,Fitur Produk / Transaksi
2026-06-02,game yaaa Baguss,Positif,Fitur Produk / Transaksi
2026-06-02,"gk bisa dibuka, aplikasi abal2, sdh bagus pakai apk pegadaian syariah digital pakai diganti2 segala. APLIKASINYA SULIT DIGUNAKAN....😠😤",Negatif,Aplikasi Digital (Bug/UI)
2026-06-02,ok baik,Positif,Fitur Produk / Transaksi
2026-06-02,apk aman dan terpercaya,Positif,Fitur Produk / Transaksi
2026-06-02,bagus,Positif,Fitur Produk / Transaksi
2026-06-02,keren,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasi nya bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,gampang,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasi bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,aplikasi bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,bagus apknya,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasi baguss !,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,bagus,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasi sangat bermanfaat,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,terpercaya,Positif,Fitur Produk / Transaksi
2026-06-02,aplikasi ny bagus dan gampang di pelajari,Positif,Aplikasi Digital (Bug/UI)
2026-06-02,"Ini yang bikin aplikasi anak SMK yang lagi PKL kah? jelek banget cok, mau hubungkan direct debit aja susahnya minta ampun 👎👎👎👎👎",Negatif,Aplikasi Digital (Bug/UI)
2026-06-02,bagus,Positif,Fitur Produk / Transaksi
2026-06-02,baguss banget,Positif,Fitur Produk / Transaksi
2026-06-02,ok banget,Positif,Fitur Produk / Transaksi
2026-06-01,gud,Positif,Fitur Produk / Transaksi
2026-06-01,bagus apk nya,Positif,Fitur Produk / Transaksi
2026-06-01,mantap,Positif,Fitur Produk / Transaksi
2026-06-01,aplikasi nya bagus benget,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,mantaf,Positif,Fitur Produk / Transaksi
2026-06-01,sangat bagus,Positif,Fitur Produk / Transaksi
2026-06-01,aplikasi nya bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,aplikasi bagus bisa menghasilkan cuan dgn mudah tetap semangat Buat projek nya,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,keren dan sangat membantu!,Positif,Customer Service / Pelayanan
2026-06-01,"good, sangat memuaskan",Positif,Fitur Produk / Transaksi
2026-06-01,bagus bangettt,Positif,Fitur Produk / Transaksi
2026-06-01,aplikasi ini bagus sekali,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,bagus banget,Positif,Fitur Produk / Transaksi
2026-06-01,bagus dan bisa membantu saya,Positif,Customer Service / Pelayanan
2026-06-01,"aplikasi yang bagus ,pendaftaran lancar tanpa leg leg",Positif,Aplikasi Digital (Bug/UI)
2026-06-01,aplikasi bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,mudah dan cepat prosesnya,Positif,Fitur Produk / Transaksi
2026-06-01,bagus,Positif,Fitur Produk / Transaksi
2026-06-01,lumayan aplikasi nya saya kasih bintang5,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,apps yg sangat lumayan untuk dicoba install,Positif,Fitur Produk / Transaksi
2026-06-01,"aplikasinya agak jelek, untuk pergantian no HP/ email sangat lama, setidaknya kalian buat sistem yang bisa menggantikan email/no HP di kantor pegadaian, gak harus mengirim data ke pusat. PERGANTIAN sangat sangat LAMA.",Negatif,Aplikasi Digital (Bug/UI)
2026-06-01,apk bagus nariknya ga pake lama,Positif,Fitur Produk / Transaksi
2026-06-01,apknya bagus,Positif,Fitur Produk / Transaksi
2026-06-01,Aplikasi yang gampang di mengerti buat cicil emas atau gadai rekomen sih ini. Top pertahankan yah,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,bagus,Positif,Fitur Produk / Transaksi
2026-06-01,bagus banget aplikasinya gadai ga perlu ketempat,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,josjis,Positif,Fitur Produk / Transaksi
2026-06-01,aplikasi best.,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,mantap,Positif,Fitur Produk / Transaksi
2026-06-01,terimakasih karena ini aku jadi kaya 😘😘,Positif,Fitur Produk / Transaksi
2026-06-01,mantap,Positif,Fitur Produk / Transaksi
2026-06-01,menurut saya aplikasi ini lumayan cepat untuk prosesnya dan persyaratannya juga tidak begitu ribet,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,Aplikasinya sangat memudahkan sekali tidak harus sering ke kantor lgsg,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,mantap!!!!!!!!!!!!ggg,Positif,Fitur Produk / Transaksi
2026-06-01,"Terbaik banget! Sekarang Pegadaian Digital berubah jadi Tring!, makin bagus dan lengkap. Daftar gampang, verifikasi cepet. Emasnya nyata ada fisiknya, aman disimpan Pegadaian. Bisa jual beli kapan aja, cairnya lancar. Enak banget nabung masa depan pakai aplikasi ini. Wajib punya! 😍",Positif,Aplikasi Digital (Bug/UI)
2026-06-01,waoww,Positif,Fitur Produk / Transaksi
2026-06-01,sangat cepat prosesnya recomended,Positif,Fitur Produk / Transaksi
2026-06-01,"hati hati buat yang mau download apk ini! sudah banyak korban. saya beli emas mudah, pas mau jual di apk berhasil tapi sampai sekarang saldo belum masuk ke bank! hati2 apk scam",Negatif,Aplikasi Digital (Bug/UI)
2026-06-01,mantap,Positif,Fitur Produk / Transaksi
2026-06-01,so far so good sih sangat membantu apknya,Positif,Customer Service / Pelayanan
2026-06-01,"baru menyoba,semoga bs memahami😁",Positif,Fitur Produk / Transaksi
2026-06-01,mantap apknya,Positif,Fitur Produk / Transaksi
2026-06-01,bagusss menarik dapat langsung cair dengan mudah,Positif,Fitur Produk / Transaksi
2026-06-01,sigma,Positif,Fitur Produk / Transaksi
2026-06-01,aplikasi yg bagus Sangat mempermudah buat gadai,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,aplikasi tring pegadaian baguss banget💐💐,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,mantap,Positif,Fitur Produk / Transaksi
2026-06-01,susah tidak ada notifikasi pembayaran dan dp cicil emas,Negatif,Harga Emas & Gadai
2026-06-01,sangat membantu dalam proses pegadaian,Positif,Harga Emas & Gadai
2026-06-01,gg bnget,Positif,Fitur Produk / Transaksi
2026-06-01,keren,Positif,Fitur Produk / Transaksi
2026-06-01,"seharusnya jika tagihan bulan ini sudah di bayar, dan untuk tagihan bulan selanjutnya susah muncul, karena kita ingin mempercepat pembayaran, untuk saat ini harus menunggu bulan berikutnya.. terlalu lama,masa kalah sama pinjol.bulan ini bayar kemudian kita ingin bayar lagi meskipun blm datang japo bulan ny tetap bisa.kita percepat juga yg untung jg kalian ADM nya tetap ada meskipun di percepat.",Negatif,Fitur Produk / Transaksi
2026-06-01,ok,Positif,Fitur Produk / Transaksi
2026-06-01,apk bagus wowo sangat mengejut kan akus ajsvs,Positif,Fitur Produk / Transaksi
2026-06-01,terbagus,Positif,Fitur Produk / Transaksi
2026-06-01,"ini pencairan dana nya gabsa lewat aplikasi karen pilihan bank nya sedikit,bank syariah Indonesia BSI gak ada.",Positif,Aplikasi Digital (Bug/UI)
2026-06-01,bagus,Positif,Fitur Produk / Transaksi
2026-06-01,good. buat menyelesaikan musim aja,Positif,Fitur Produk / Transaksi
2026-06-01,gacor,Positif,Fitur Produk / Transaksi
2026-06-01,terbaik apknya,Positif,Fitur Produk / Transaksi
2026-06-01,aplikasi yg membantu saat kebutuhan mendesak,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,"""Aplikasi bagus, resmi dari Pegadaian, bermanfaat dan mudah dipakai.""",Positif,Aplikasi Digital (Bug/UI)
2026-06-01,bagus aplikasi nya,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,aplikasinya bagus banget terima kasih,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,bagus sangat berguna,Positif,Fitur Produk / Transaksi
2026-06-01,aplikasi nya sangat bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,"Aplikasi sangat membantu untuk berbagai layanan Pegadaian. Tampilan mudah dipahami, proses transaksi cepat, dan fiturnya lengkap. Sangat memudahkan tanpa harus datang ke kantor. Recommended!",Positif,Aplikasi Digital (Bug/UI)
2026-06-01,apk sangatt bagus sekali,Positif,Fitur Produk / Transaksi
2026-06-01,aplikasi nya sangat bagus!,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,sangat bagus,Positif,Fitur Produk / Transaksi
2026-06-01,ok,Positif,Fitur Produk / Transaksi
2026-06-01,mantap,Positif,Fitur Produk / Transaksi
2026-06-01,bagus dengan fitur yang banyak dan bergunaa,Positif,Fitur Produk / Transaksi
2026-06-01,layanan gadai yang cepat,Positif,Harga Emas & Gadai
2026-06-01,aplikasinya bagus aman juga terpercaya,Positif,Aplikasi Digital (Bug/UI)
2026-06-01,apk nya bagus top,Positif,Fitur Produk / Transaksi
2026-06-01,asal mau buka aplikasi tidak bisa..katanya usb debugging aktif..padahal di cek semua gak ada yg aktif,Negatif,Aplikasi Digital (Bug/UI)
2026-05-31,"ribet pengambilan saldonya, bank yang ada juga dikit",Negatif,Biaya & Administrasi
2026-05-31,"saya sudah menyimpan rekening pencairan, tapi waktu mau menjual emas/mengadaikan tabungan emas,rekening pencairan gabisa dimasukkan,gmna sih ini aplikasinya, mau masuk login juga muter², udah lewat email tapi ttp susah buat login klo lupa pasword sama lupa id",Negatif,Aplikasi Digital (Bug/UI)
2026-05-31,saya sudah menambahkan rekening pencairan tp di opsi penjualan malah gk ada rekening yg saya cantumkan apk ga jelas,Negatif,Harga Emas & Gadai
2026-05-31,"tolong bantu bagaimna cara mengatasi rekening pencairan tidak muncul di menu rekening pencairan, padahal di menu akun saya sudah cek ada rekening saya yang sudah terdaftar sebagai rekening pencairan.",Negatif,Customer Service / Pelayanan
2026-05-31,bener2 nyesel nabung di pegadaian udah nabung banyak pas lagi butuh mau gadai emas tiba2 malah no rekening sudah terdaftar tetapi setelah pencairan nomer rekening malah ga ada kalo mau untung sendiri jangan gini caranya itu uang investor bukan uang perusahaan,Negatif,Aplikasi Digital (Bug/UI)
2026-05-31,semenjak diupdate kok jadi lambat aplikasinya 😌 ini gimana mau jual lewat rekening bca tetep gabisa ?? gimana solusinya ? payahh,Negatif,Aplikasi Digital (Bug/UI)
2026-05-31,"knp eror trus ya,mw tarik tunai gak bisa kak",Negatif,Fitur Produk / Transaksi
2026-05-31,"Saya melakukan penjualan emas pada tanggal 27 Mei 2026, di riwayat transaksi aplikasi trinkbyPegadaian tertulis berhasil, tapi uangnya belom masuk ke rekening saya sampai sekarang",Negatif,Aplikasi Digital (Bug/UI)
2026-05-31,hari ini g bisa di buat jual knp y tlg bantu dong LG urgent Uda dicb brkali2 😔😔😔,Negatif,Harga Emas & Gadai
2026-05-31,"tanggal 31 mei 2026 ,kenapa ga bisa di cairkan?? padahl atas nama sendiri ..,padahal urgent butuh banget..,",Negatif,Fitur Produk / Transaksi
2026-05-31,aneh banget waktu pencairan gakbisa nambahin no rekening padahal sudah dimasukan 2x,Negatif,Aplikasi Digital (Bug/UI)
2026-05-31,"Beli bisa, giliran mau jual emas gangguan mulu kacau",Negatif,Harga Emas & Gadai
2026-05-31,"aplikasi gak guna, saya udh daftarkan rek bank bca 2x penarikan malah disuruh ganti no rek .....ini aplikasi gimna sih......kayak nya sengaja biar saldo org gk bisa ditarik ya......ato gimna, ada endapan saldo lagi pokok nya temen2 jgn mau pke TRING ini apk gk jelas",Negatif,Aplikasi Digital (Bug/UI)
2026-05-31,"aplikasi menyebalkan menambah pinjaman sudah masuk di aplikasi tapi di rek bank belum masuk sampek 3 hari sudah ke cabang2x tapi suruh menunggu, bunga berjalan apa pihak app mau ganti. baru ini app parah bikin kecewa😡😡",Negatif,Aplikasi Digital (Bug/UI)
2026-05-31,tidak bisa buyback rekening,Negatif,Harga Emas & Gadai
2026-05-31,nabung emas degan mudah tampa harus menunggu lama.. mohon agar appnya lebih ditingkatkan aja sering lemot dan susah diakses 🤔,Positif,Harga Emas & Gadai
2026-05-31,"rekening pencairan tiba-tiba Hilang dan bejad nya lagi di input ulang rekening baru tidak bisa, keterangan rekening sudah terdaftar. BNGSATTTT",Negatif,Fitur Produk / Transaksi
2026-05-31,nomer rekening sudah di tambahin tapi kenapa gabisa pas pecairan,Negatif,Fitur Produk / Transaksi
2026-05-31,aplikasi aneh saya tidak pernah mengajukan cicilan emasbtetapi di aplikasi tercatat !,Negatif,Aplikasi Digital (Bug/UI)
2026-05-30,sangat Bagus memuaskan,Positif,Fitur Produk / Transaksi
2026-05-30,mohon untuk di perbaiki ini apklisa nya sering keluar sendiri padahal untuk jaringan udah ganti ganti tapi tepat sama aja,Negatif,Aplikasi Digital (Bug/UI)
2026-05-30,"tolong dong di benerin lagi, saya mau jual emas GK bisa , padahal no rek pencairan udah di isi tapi di menu penjualan emas GK muncul malah minta lagi no rek pencairan ....",Negatif,Harga Emas & Gadai
2026-05-30,Aplikasi ini cukup membantu,Positif,Aplikasi Digital (Bug/UI)
2026-05-30,ini kenapa aplikasi nya kok tidak bisa di buka ya.?,Positif,Aplikasi Digital (Bug/UI)
2026-05-30,"mau dijual saldo tabungannya tpi gabisa karna suruh daftar nomor rekening. padahal sebelumnya udh daftar, dipake daftar norek lagi gabisa tpi dipilihannya ga ada. intinya gabisa dijual! perbaiki lagi sistemnya!",Negatif,Biaya & Administrasi
2026-05-30,saya akan ganti bintang 5 jika kendala bank BCA ter atasi hari ini tanggal 30mei 2026,Negatif,Fitur Produk / Transaksi
2026-05-30,sangat membantu dan mempermudah,Positif,Customer Service / Pelayanan
2026-05-30,aplikasi tidak aksesibel untuk aplikasi pembaca layar tunanetra dan sangat tidak inklusif,Negatif,Aplikasi Digital (Bug/UI)
2026-05-30,"hp keriset mau masuk lagi tapi tidak bisa ,sudah mencocokkan no NIK masih aja tidak bisa, sarannya gimana ya?",Negatif,Aplikasi Digital (Bug/UI)
2026-05-30,"aplikasi SAMPAHHH,error terus,ngebug udah jadi makanan tiap kali mau jual emas,customer service nya juga lelet gajelas,tiba tiba di tinggal",Negatif,Aplikasi Digital (Bug/UI)
2026-05-30,skrg2 susah banget mau jual atau gadai lewat aplikasi Tring. Rekening ga kedetect. kenapa ya????? dari kmren2. jadi ilang percaya kalo gini invest di Pegadaian.,Negatif,Aplikasi Digital (Bug/UI)
2026-05-30,saya mau jual dan rekening sudah terdaftar tapi tidak muncul terus hadehhh,Negatif,Harga Emas & Gadai
2026-05-29,"untuk login yang ""lupa user id"" dan ""lupa password"" karena HP hilang berikut emailnya diretas orang jadi sudah tidak memiliki akses emailnya lagi. urus akun Tring nya ribet banget sampe sekarang udah 1 bulan lebih ngurus nya ga ada perkembangan sama sekali. sudah ke kantor pegadaian nya ngurus surat kehilangan dll, ttd materai dll, tlp center yang menggunakan pulsapun ga ada perubahan masih tetap tidak bisa di akses... entah bagaimana harusnya ga ada solusi.",Negatif,Aplikasi Digital (Bug/UI)
2026-05-29,kenapa saya mau gadai tapi tidak muncul rekening banknya,Negatif,Harga Emas & Gadai
2026-05-29,ini mau gadai emas gk bisa. mau jual juga gk bisa. aplikasinya tolong dibenerin dong. padahal udah saya tambah data rekening pencairannya,Negatif,Aplikasi Digital (Bug/UI)
2026-05-29,mantap banget,Positif,Fitur Produk / Transaksi
2026-05-29,"ga bisa2 masuk kedalam aplikasi nya,dengan alasan mode pengembang kemarin2 bisa sekaramg ga bisa",Negatif,Aplikasi Digital (Bug/UI)
2026-05-29,aplikasi sangat membantu,Positif,Aplikasi Digital (Bug/UI)
